Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.1398 0.1409 0.7897 SUCCES PSUCC cg.f:578
0.5320 0.5350 0.2681 SUCCES PSUCC cg.f:578
0.9267 0.9316 0.2484 FAILED PSUCC cg.f:578
0.2348 0.2362 0.5855 FAILED PSUCC cg.f:578
0.1303 0.1311 0.0649 SUCCES PSUCC cg.f:577
0.0196 0.0198 0.5424 SUCCES PSUCC cg.f:578
0.3305 0.3328 0.3831 SUCCES PSUCC cg.f:578
0.2241 0.2259 0.3607 SUCCES PSUCC cg.f:645
0.1216 0.1227 0.8430 SUCCES PSUCC cg.f:578
0.0121 0.0122 0.8192 SUCCES PSUCC cg.f:578
0.4101 0.4126 0.8020 FAILED PSUCC cg.f:578
0.7143 0.7180 0.1362 FAILED PSUCC cg.f:578
0.6110 0.6141 0.6177 FAILED PSUCC cg.f:681
0.5075 0.5104 0.5999 SUCCES PSUCC cg.f:578
0.3124 0.3150 0.9380 SUCCES PSUCC cg.f:578
0.2086 0.2104 0.4165 FAILED PSUCC cg.f:577
0.6025 0.6045 0.8947 SUCCES PSUCC cg.f:578
0.4972 0.5014 0.8747 SUCCES PSUCC cg.f:578
0.8942 0.8976 0.8588 SUCCES PSUCC cg.f:578
0.2006 0.2020 0.6942 SUCCES PSUCC cg.f:578
0.0897 0.0905 0.6674 SUCCES PSUCC cg.f:578
0.9880 0.9928 0.6536 SUCCES PSUCC cg.f:578
0.3835 0.3858 0.1332 SUCCES PSUCC cg.f:578
0.6886 0.6936 0.4677 SUCCES PSUCC cg.f:578
0.0851 0.0859 0.4493 SUCCES PSUCC cg.f:578
0.9822 0.9881 0.4319 SUCCES PSUCC cg.f:577
0.3732 0.3749 0.4076 FAILED PSUCC cg.f:681
0.1807 0.1815 0.2454 SUCCES PSUCC cg.f:578
0.0749 0.0755 0.2250 FAILED PSUCC cg.f:578
0.3822 0.3841 0.0635 SUCCES PSUCC cg.f:578
0.7746 0.7757 0.0406 SUCCES PSUCC cg.f:578
0.5896 0.5926 0.3857 FAILED PSUCC cg.f:578
0.9800 0.9853 0.3609 SUCCES PSUCC cg.f:578
0.2857 0.2880 0.6962 SUCCES PSUCC cg.f:578
0.6790 0.6846 0.6771 SUCCES PSUCC cg.f:577
0.5755 0.5785 0.1569 FAILED PSUCC cg.f:578
0.9736 0.9784 0.1402 SUCCES PSUCC cg.f:578
0.7770 0.7813 0.4735 FAILED PSUCC cg.f:578
0.6711 0.6748 0.4537 SUCCES PSUCC cg.f:578
0.9796 0.9848 0.7926 SUCCES PSUCC cg.f:578
0.8768 0.8838 0.2748 SUCCES PSUCC cg.f:578
0.2683 0.2704 0.2517 SUCCES PSUCC cg.f:578
0.1571 0.1581 0.7266 FAILED PSUCC cg.f:577
0.4728 0.4743 0.0722 SUCCES PSUCC cg.f:578
0.3666 0.3695 0.5508 FAILED PSUCC cg.f:578
0.7633 0.7643 0.0308 FAILED PSUCC cg.f:578
0.5701 0.5736 0.8699 SUCCES PSUCC cg.f:578
0.3743 0.3774 0.7045 SUCCES PSUCC cg.f:578
0.7667 0.7735 0.6817 FAILED PSUCC cg.f:578
0.6643 0.6681 0.1640 FAILED PSUCC cg.f:578
0.5596 0.5640 0.6449 SUCCES PSUCC cg.f:578
0.9481 0.9558 0.1188 SUCCES PSUCC cg.f:578
0.3487 0.3508 0.1028 SUCCES PSUCC cg.f:578
0.6550 0.6605 0.9420 SUCCES PSUCC cg.f:578
0.0490 0.0493 0.4191 SUCCES PSUCC cg.f:578
0.4475 0.4515 0.4024 SUCCES PSUCC cg.f:578
0.8413 0.8450 0.3805 SUCCES PSUCC cg.f:578
0.1465 0.1475 0.2177 SUCCES PSUCC cg.f:578
0.5432 0.5478 0.1981 SUCCES PSUCC cg.f:578
0.9388 0.9394 0.1796 FAILED PSUCC cg.f:578
0.7475 0.7488 0.0192 FAILED PSUCC cg.f:578
0.0519 0.0522 0.8545 SUCCES PSUCC cg.f:578
0.4473 0.4510 0.8344 SUCCES PSUCC cg.f:578
0.8356 0.8403 0.3079 SUCCES PSUCC cg.f:680
0.1462 0.1463 0.6494 FAILED PSUCC cg.f:578
0.9546 0.9622 0.4868 SUCCES PSUCC cg.f:578
0.3467 0.3498 0.9657 SUCCES PSUCC cg.f:578
0.7461 0.7496 0.4494 SUCCES PSUCC cg.f:578
0.6402 0.6432 0.4286 SUCCES PSUCC cg.f:578
0.4434 0.4461 0.2628 SUCCES PSUCC cg.f:578
0.3372 0.3396 0.7425 FAILED PSUCC cg.f:578
0.1503 0.1514 0.0839 SUCCES PSUCC cg.f:580
0.0435 0.0439 0.5623 SUCCES PSUCC cg.f:578
0.5309 0.5346 0.6889 SUCCES PSUCC cg.f:578
0.4177 0.4205 0.6616 SUCCES PSUCC cg.f:578
0.8095 0.8168 0.1382 FAILED PSUCC cg.f:578
0.2093 0.2106 0.6237 SUCCES PSUCC cg.f:578
0.5187 0.5218 0.4636 SUCCES PSUCC cg.f:578
0.9061 0.9123 0.4364 FAILED PSUCC cg.f:578
0.8064 0.8109 0.4200 FAILED PSUCC cg.f:578
0.1988 0.2000 0.3993 SUCCES PSUCC cg.f:578
0.0874 0.0877 0.3724 FAILED PSUCC cg.f:578
0.9008 0.9048 0.7157 SUCCES PSUCC cg.f:578
0.2965 0.2990 0.1978 SUCCES PSUCC cg.f:578
0.1908 0.1919 0.1759 FAILED PSUCC cg.f:578
0.8885 0.8929 0.4891 SUCCES PSUCC cg.f:578
0.2881 0.2897 0.9736 SUCCES PSUCC cg.f:578
0.5928 0.5970 0.8108 SUCCES PSUCC cg.f:578
0.9878 0.9954 0.2895 SUCCES PSUCC cg.f:577
0.8774 0.8810 0.2659 SUCCES PSUCC cg.f:578
0.7786 0.7833 0.7512 SUCCES PSUCC cg.f:578
0.5894 0.5927 0.0919 SUCCES PSUCC cg.f:578
0.4807 0.4834 0.5678 FAILED PSUCC cg.f:578
0.8717 0.8768 0.5442 SUCCES PSUCC cg.f:578
0.6815 0.6853 0.8849 SUCCES PSUCC cg.f:577
0.5757 0.5793 0.8637 SUCCES PSUCC cg.f:578
0.4738 0.4781 0.3473 SUCCES PSUCC cg.f:623
0.3673 0.3690 0.8243 SUCCES PSUCC cg.f:578
0.6716 0.6750 0.1610 SUCCES PSUCC cg.f:577
0.0647 0.0652 0.6388 SUCCES PSUCC cg.f:578
0.3764 0.3785 0.4791 SUCCES PSUCC cg.f:578
0.7651 0.7677 0.4559 SUCCES PSUCC cg.f:578
0.5797 0.5830 0.2990 SUCCES PSUCC cg.f:578
0.4663 0.4687 0.2727 FAILED PSUCC cg.f:578
0.2822 0.2837 0.1159 SUCCES PSUCC cg.f:578
0.1740 0.1751 0.5941 SUCCES PSUCC cg.f:681
0.9806 0.9889 0.4313 SUCCES PSUCC cg.f:578
0.8750 0.8757 0.9113 SUCCES PSUCC cg.f:577
0.1857 0.1865 0.2514 SUCCES PSUCC cg.f:578
0.0729 0.0733 0.2248 SUCCES PSUCC cg.f:578
0.8834 0.8890 0.5649 FAILED PSUCC cg.f:578
0.2784 0.2784 0.5454 SUCCES PSUCC cg.f:578
0.0850 0.0856 0.3826 FAILED PSUCC cg.f:578
0.4803 0.4831 0.8628 SUCCES PSUCC cg.f:578
0.2916 0.2933 0.7040 SUCCES PSUCC cg.f:578
0.1845 0.1856 0.1816 SUCCES PSUCC cg.f:578
0.0777 0.0783 0.6608 SUCCES PSUCC cg.f:578
0.3881 0.3907 0.0008 SUCCES PSUCC cg.f:578
0.2810 0.2828 0.4783 SUCCES PSUCC cg.f:578
0.6745 0.6786 0.9583 SUCCES PSUCC cg.f:578
0.0689 0.0694 0.4382 SUCCES PSUCC cg.f:578
0.9661 0.9716 0.9178 FAILED PSUCC cg.f:578
0.7762 0.7804 0.2588 SUCCES PSUCC cg.f:578
0.1663 0.1674 0.2362 SUCCES PSUCC cg.f:578
0.5597 0.5624 0.7140 FAILED PSUCC cg.f:578
0.3675 0.3688 0.5521 SUCCES PSUCC cg.f:578
0.2587 0.2598 0.5298 SUCCES PSUCC cg.f:578
0.0701 0.0708 0.8686 FAILED PSUCC cg.f:578
0.9634 0.9684 0.8492 FAILED PSUCC cg.f:578
0.8579 0.8570 0.3288 SUCCES PSUCC cg.f:578
