Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.7279 0.7237 0.2233 failed PSUCC fft3d.f:2
0.3790 0.3804 0.6390 succes PSUCC fft3d.f:2
0.0352 0.0351 0.0601 succes PSUCC fft3d.f:2
0.1008 0.1011 0.3374 succes PSUCC fft3d.f:160
0.6647 0.6582 0.1112 failed PSUCC fft3d.f:126
0.7343 0.7275 0.3910 succes PSUCC fft3d.f:2
0.3047 0.3026 0.1718 succes PSUCC fft3d.f:160
0.3673 0.3651 0.9471 succes PSUCC fft3d.f:49
0.9340 0.9279 0.7240 succes PSUCC fft3d.f:49
0.5860 0.5827 0.1394 succes PSUCC fft3d.f:82
0.6563 0.6508 0.9205 succes PSUCC fft3d.f:82
0.2197 0.2181 0.1948 failed PSUCC fft3d.f:49
0.7907 0.7797 0.4739 succes PSUCC fft3d.f:81
0.3546 0.3533 0.2511 succes PSUCC fft3d.f:2
0.0098 0.0099 0.1692 succes PSUCC fft3d.f:44
0.0770 0.0767 0.9472 succes PSUCC fft3d.f:2
0.6433 0.6315 0.2245 succes PSUCC fft3d.f:49
0.7082 0.7075 0.5016 succes PSUCC fft3d.f:2
0.7759 0.7719 0.2779 succes PSUCC fft3d.f:82
0.8450 0.8369 0.0578 succes PSUCC fft3d.f:2
0.4997 0.4951 0.9779 succes PSUCC fft3d.f:48
0.5622 0.5620 0.2515 failed PSUCC fft3d.f:47
0.1336 0.1334 0.0311 succes PSUCC fft3d.f:82
0.7873 0.7816 0.9517 succes PSUCC fft3d.f:81
0.8492 0.8457 0.7251 succes PSUCC fft3d.f:81
0.4200 0.4126 0.5068 failed PSUCC fft3d.f:2
0.4893 0.4870 0.2833 succes PSUCC fft3d.f:49
0.0534 0.0533 0.0605 succes PSUCC fft3d.f:81
0.7070 0.7011 0.4808 succes PSUCC fft3d.f:165
0.2675 0.2661 0.2499 failed PSUCC fft3d.f:82
0.8383 0.8304 0.5317 succes PSUCC fft3d.f:49
0.9932 0.9838 0.9515 succes PSUCC fft3d.f:45
0.5554 0.5574 0.2252 succes PSUCC fft3d.f:49
0.1315 0.1313 0.5088 failed PSUCC fft3d.f:49
0.6962 0.6931 0.7862 succes PSUCC fft3d.f:48
0.3467 0.3453 0.7036 succes PSUCC fft3d.f:160
0.9135 0.8961 0.9784 succes PSUCC fft3d.f:49
0.9821 0.9797 0.2576 succes PSUCC fft3d.f:82
0.5509 0.5481 0.5370 succes PSUCC fft3d.f:48
0.6122 0.6068 0.3090 succes PSUCC fft3d.f:48
0.2692 0.2686 0.2301 failed PSUCC fft3d.f:46
0.3365 0.3342 0.0088 succes PSUCC fft3d.f:49
0.9018 0.8977 0.2857 succes PSUCC fft3d.f:49
0.9746 0.9693 0.5667 succes PSUCC fft3d.f:49
0.6200 0.6153 0.9796 succes PSUCC fft3d.f:49
0.1918 0.1901 0.2614 succes PSUCC fft3d.f:49
0.7599 0.7582 0.5393 succes PSUCC fft3d.f:48
0.8221 0.8166 0.3127 failed PSUCC fft3d.f:2
0.4765 0.4784 0.7310 succes PSUCC fft3d.f:47
0.1313 0.1313 0.6511 succes PSUCC fft3d.f:82
0.6974 0.6944 0.9278 succes PSUCC fft3d.f:48
0.7627 0.7572 0.2037 succes PSUCC fft3d.f:126
0.9164 0.9088 0.1229 failed PSUCC fft3d.f:120
0.9879 0.9845 0.9049 succes PSUCC fft3d.f:82
0.5569 0.5532 0.1847 succes PSUCC fft3d.f:2
0.1168 0.1162 0.9553 succes PSUCC fft3d.f:126
0.2697 0.2665 0.3729 failed PSUCC fft3d.f:81
0.8405 0.8358 0.1544 succes PSUCC fft3d.f:82
0.4052 0.4040 0.4301 succes PSUCC fft3d.f:82
0.0598 0.0595 0.8505 succes PSUCC ()
0.1256 0.1245 0.1260 succes PSUCC fft3d.f:94
0.6932 0.6896 0.9030 succes PSUCC fft3d.f:82
0.2589 0.2596 0.6816 succes PSUCC fft3d.f:120
0.9164 0.8996 0.1028 succes PSUCC fft3d.f:2
0.9851 0.9829 0.8811 succes PSUCC fft3d.f:49
0.6357 0.6318 0.7975 succes PSUCC fft3d.f:49
0.7048 0.6990 0.5787 succes PSUCC fft3d.f:82
0.2689 0.2679 0.3513 failed PSUCC fft3d.f:49
0.8346 0.8321 0.6299 succes PSUCC fft3d.f:49
0.4933 0.4919 0.5508 succes PSUCC fft3d.f:49
0.1470 0.1459 0.9702 succes PSUCC fft3d.f:46
0.7110 0.7022 0.2458 succes PSUCC fft3d.f:81
0.2780 0.2757 0.0221 succes PSUCC fft3d.f:82
0.3464 0.3451 0.8034 succes PSUCC fft3d.f:46
0.4050 0.4028 0.0718 succes PSUCC fft3d.f:79
0.0687 0.0683 0.9995 succes PSUCC fft3d.f:125
0.1346 0.1340 0.7761 succes PSUCC fft3d.f:82
0.2002 0.1988 0.5541 succes PSUCC fft3d.f:82
0.7650 0.7588 0.8276 succes PSUCC fft3d.f:2
0.3349 0.3321 0.6075 succes PSUCC fft3d.f:49
0.9004 0.8945 0.8860 succes PSUCC fft3d.f:166
0.4653 0.4614 0.6591 succes PSUCC fft3d.f:2
0.5348 0.5313 0.4395 succes PSUCC fft3d.f:48
0.6013 0.6038 0.2155 succes PSUCC fft3d.f:49
0.2510 0.2486 0.6319 succes PSUCC fft3d.f:48
0.8224 0.8198 0.9129 failed PSUCC fft3d.f:2
0.8887 0.8801 0.6883 succes PSUCC fft3d.f:49
0.4553 0.4540 0.4687 succes PSUCC fft3d.f:45
0.1093 0.1086 0.3859 succes PSUCC ()
0.1766 0.1762 0.1644 failed PSUCC fft3d.f:49
0.8265 0.8209 0.0806 failed PSUCC fft3d.f:2
0.8964 0.8972 0.8594 succes PSUCC fft3d.f:160
0.5497 0.5480 0.7787 succes PSUCC fft3d.f:166
0.2064 0.2055 0.2008 succes PSUCC fft3d.f:81
0.7717 0.7691 0.4767 succes PSUCC fft3d.f:2
0.9194 0.9170 0.8892 succes PSUCC fft3d.f:2
0.9925 0.9956 0.6735 succes PSUCC fft3d.f:49
0.6450 0.6431 0.0914 succes PSUCC fft3d.f:82
0.7125 0.7007 0.3681 failed PSUCC fft3d.f:48
0.7767 0.7779 0.6427 succes PSUCC fft3d.f:48
0.9301 0.9315 0.5615 succes PSUCC fft3d.f:82
0.1550 0.1465 0.2614 succes PSUCC fft3d.f:159
0.0512 0.0516 0.2588 succes PSUCC ()
0.2012 0.2015 0.1762 succes PSUCC ()
0.2654 0.2604 0.9492 succes PSUCC fft3d.f:120
0.8331 0.8264 0.2281 succes PSUCC fft3d.f:82
0.4010 0.3969 0.5057 succes PSUCC fft3d.f:49
0.9671 0.9607 0.7834 succes PSUCC fft3d.f:82
0.5325 0.5327 0.5587 succes PSUCC fft3d.f:46
0.6905 0.6816 0.4809 succes PSUCC fft3d.f:49
0.2563 0.2549 0.7593 succes PSUCC fft3d.f:160
0.8148 0.8077 0.0280 succes PSUCC fft3d.f:49
0.4759 0.4743 0.4530 failed PSUCC fft3d.f:49
0.0387 0.0384 0.2269 succes PSUCC fft3d.f:82
0.1088 0.1084 0.5078 succes PSUCC ()
0.6746 0.6700 0.2828 succes PSUCC fft3d.f:49
0.3263 0.3251 0.7001 succes PSUCC fft3d.f:2
0.3960 0.3944 0.4812 succes PSUCC fft3d.f:166
0.9631 0.9562 0.7560 succes PSUCC fft3d.f:2
0.1161 0.1163 0.6767 succes PSUCC fft3d.f:48
0.6819 0.6775 0.4550 succes PSUCC fft3d.f:82
0.3359 0.3329 0.8725 succes PSUCC fft3d.f:82
0.9030 0.9006 0.6498 succes PSUCC fft3d.f:81
0.9726 0.9679 0.4303 failed PSUCC fft3d.f:82
0.1255 0.1247 0.3468 failed PSUCC fft3d.f:81
0.1885 0.1871 0.6218 succes PSUCC fft3d.f:49
0.2575 0.2567 0.4003 succes PSUCC ()
0.3251 0.3232 0.1796 succes PSUCC fft3d.f:45
0.9777 0.9732 0.5976 succes PSUCC fft3d.f:78
0.5464 0.5430 0.3768 succes PSUCC fft3d.f:48
0.2031 0.2012 0.2982 succes PSUCC fft3d.f:48
