Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.5786 0.5759 0.3541 SUCCES PSUCC mg.f:604
0.9005 0.8944 0.7963 SUCCES PSUCC mg.f:679
0.2303 0.2301 0.7398 SUCCES PSUCC mg.f:679
0.5615 0.5575 0.1875 SUCCES PSUCC mg.f:667
0.8870 0.8810 0.1302 SUCCES PSUCC mg.f:844
0.6298 0.6254 0.9337 SUCCES PSUCC mg.f:665
0.9600 0.9531 0.8824 SUCCES PSUCC mg.f:667
0.1972 0.1964 0.1817 SUCCES PSUCC mg.f:665
0.7915 0.7866 0.0564 SUCCES PSUCC mg.f:604
0.5340 0.5349 0.8594 SUCCES PSUCC mg.f:679
0.6178 0.6127 0.2245 SUCCES PSUCC mg.f:846
0.4464 0.4453 0.1713 SUCCES PSUCC mg.f:595
0.7762 0.7705 0.1166 SUCCES PSUCC mg.f:595
0.5173 0.5174 0.4200 SUCCES PSUCC mg.f:597
0.8466 0.8421 0.3657 SUCCES PSUCC mg.f:604
0.0900 0.0895 0.6687 SUCCES PSUCC mg.f:679
0.9125 0.9078 0.1127 SUCCES PSUCC mg.f:597
0.2436 0.2433 0.0565 SUCCES PSUCC mg.f:604
0.0734 0.0731 0.5024 SUCCES PSUCC mg.f:844
0.8983 0.8919 0.4451 SUCCES PSUCC mg.f:665
0.1405 0.1398 0.2492 SUCCES PSUCC mg.f:840
0.4688 0.4657 0.1956 SUCCES PSUCC mg.f:667
0.9767 0.9688 0.4271 SUCCES PSUCC mg.f:604
0.2994 0.2974 0.3666 SUCCES PSUCC mg.f:667
0.6301 0.6257 0.3146 SUCCES PSUCC mg.f:667
0.3709 0.3705 0.6189 SUCCES PSUCC mg.f:597
0.1978 0.1985 0.5596 SUCCES PSUCC mg.f:679
0.7941 0.7889 0.4371 SUCCES PSUCC mg.f:604
0.6186 0.6141 0.3784 SUCCES PSUCC mg.f:852
0.8606 0.8620 0.1818 SUCCES PSUCC mg.f:679
0.9484 0.9417 0.0508 SUCCES PSUCC mg.f:679
0.7745 0.7688 0.9951 SUCCES PSUCC mg.f:604
0.1037 0.1031 0.4381 SUCCES PSUCC mg.f:679
0.9310 0.9268 0.3840 SUCCES PSUCC mg.f:679
0.4339 0.4304 0.6126 SUCCES PSUCC mg.f:679
0.2656 0.2663 0.0620 SUCCES PSUCC mg.f:667
0.3522 0.3497 0.9274 SUCCES PSUCC mg.f:667
0.1809 0.1810 0.3748 SUCCES PSUCC mg.f:597
0.0128 0.0130 0.3223 SUCCES PSUCC mg.f:840
0.8354 0.8299 0.7616 SUCCES PSUCC mg.f:665
0.6668 0.6682 0.7099 SUCCES PSUCC mg.f:679
0.2552 0.2559 0.0779 SUCCES PSUCC mg.f:667
0.3447 0.3442 0.9498 SUCCES PSUCC mg.f:679
0.1708 0.1698 0.8916 SUCCES PSUCC mg.f:604
0.4163 0.4134 0.1983 SUCCES PSUCC mg.f:846
0.7392 0.7335 0.6370 SUCCES PSUCC mg.f:757
0.9877 0.9876 0.9477 SUCCES PSUCC mg.f:604
0.8118 0.8062 0.8890 SUCCES PSUCC mg.f:856
0.6389 0.6345 0.8338 SUCCES PSUCC mg.f:604
0.9690 0.9619 0.7796 SUCCES PSUCC mg.f:679
0.2994 0.2969 0.2248 SUCCES PSUCC mg.f:667
0.5388 0.5349 0.0289 SUCCES PSUCC mg.f:770
0.8703 0.8665 0.9757 SUCCES PSUCC mg.f:667
0.3728 0.3703 0.2031 SUCCES PSUCC mg.f:665
0.6983 0.6889 0.1445 SUCCES PSUCC mg.f:679
0.5286 0.5301 0.5932 SUCCES PSUCC mg.f:679
0.6132 0.6091 0.4574 SUCCES PSUCC mg.f:770
0.9452 0.9408 0.9069 SUCCES PSUCC mg.f:679
0.4448 0.4445 0.1335 SUCCES PSUCC mg.f:604
0.2755 0.2718 0.5804 SUCCES PSUCC mg.f:757
0.1042 0.1036 0.0240 SUCCES PSUCC mg.f:597
0.3433 0.3411 0.8272 SUCCES PSUCC mg.f:667
0.1728 0.1717 0.2716 SUCCES PSUCC mg.f:599
0.5000 0.4965 0.2154 SUCCES PSUCC mg.f:667
0.3326 0.3336 0.1658 SUCCES PSUCC mg.f:667
0.4229 0.4197 0.0360 SUCCES PSUCC mg.f:665
0.7433 0.7382 0.9743 FAILED PSUCC mg.f:679
0.4890 0.4891 0.2801 SUCCES PSUCC mg.f:667
0.3207 0.3215 0.7288 SUCCES PSUCC mg.f:665
0.9040 0.8961 0.0935 SUCCES PSUCC mg.f:665
0.2373 0.2373 0.0432 SUCCES PSUCC mg.f:604
0.0633 0.0636 0.9852 SUCCES PSUCC mg.f:663
0.6513 0.6518 0.8544 SUCCES PSUCC mg.f:604
0.9772 0.9632 0.2966 SUCCES PSUCC mg.f:665
0.3096 0.3070 0.7463 SUCCES PSUCC mg.f:597
0.1382 0.1365 0.1905 SUCCES PSUCC mg.f:755
0.3769 0.3741 0.9922 SUCCES PSUCC mg.f:604
0.1215 0.1221 0.7982 FAILED PSUCC mg.f:679
0.7124 0.7122 0.1694 SUCCES PSUCC mg.f:595
0.5355 0.5316 0.6087 SUCCES PSUCC mg.f:663
0.6280 0.6231 0.9819 SUCCES PSUCC mg.f:665
0.8684 0.8703 0.7834 SUCCES PSUCC mg.f:679
0.9591 0.9523 0.1574 SUCCES PSUCC mg.f:679
0.2820 0.2798 0.0958 SUCCES PSUCC mg.f:852
0.1174 0.1178 0.0467 SUCCES PSUCC mg.f:679
0.7043 0.6995 0.9150 SUCCES PSUCC mg.f:604
0.5286 0.5299 0.3544 SUCCES PSUCC mg.f:679
0.6208 0.6157 0.7272 SUCCES PSUCC mg.f:679
0.8613 0.8633 0.0312 SUCCES PSUCC mg.f:667
0.9520 0.9448 0.4024 SUCCES PSUCC mg.f:833
0.2803 0.2803 0.8467 SUCCES PSUCC mg.f:833
0.1082 0.1075 0.2904 SUCCES PSUCC mg.f:604
