Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.7200 0.6530 0.0003 SUCCES PFAIL mg.f:595
0.0293 0.0267 0.0972 SUCCES PFAIL mg.f:665
0.2463 0.2210 0.0481 SUCCES PFAIL mg.f:846
0.9692 0.8744 0.0049 SUCCES PFAIL mg.f:757
0.2724 0.2459 0.0976 SUCCES PFAIL mg.f:604
0.9938 0.8974 0.5515 SUCCES PFAIL mg.f:665
0.7165 0.6477 0.0063 SUCCES PFAIL mg.f:595
0.0292 0.0265 0.1084 SUCCES PFAIL mg.f:679
0.2436 0.2197 0.0565 SUCCES PFAIL mg.f:595
0.4641 0.4184 0.5105 SUCCES PFAIL mg.f:846
0.2743 0.2476 0.1093 SUCCES PFAIL mg.f:604
0.4937 0.4449 0.5633 FAILED PFAIL mg.f:597
0.2095 0.1894 0.0119 SUCCES PFAIL mg.f:604
0.0196 0.0179 0.6109 SUCCES PFAIL mg.f:665
0.7364 0.6698 0.5626 SUCCES PFAIL mg.f:667
0.8044 0.7281 0.5828 SUCCES PFAIL mg.f:667
0.8696 0.7849 0.6007 SUCCES PFAIL mg.f:595
0.5907 0.5349 0.5555 SUCCES PFAIL mg.f:665
0.6569 0.5943 0.5738 SUCCES PFAIL mg.f:665
0.1422 0.1289 0.9570 SUCCES PFAIL mg.f:667
0.6200 0.5593 0.3326 SUCCES PFAIL mg.f:667
0.4300 0.3882 0.9309 SUCCES PFAIL mg.f:597
0.6529 0.5891 0.8869 SUCCES PFAIL mg.f:604
0.4546 0.4101 0.4785 SUCCES PFAIL mg.f:770
0.1774 0.1601 0.9341 SUCCES PFAIL mg.f:679
0.3993 0.3618 0.8895 SUCCES PFAIL mg.f:634
0.2025 0.1830 0.9825 SUCCES PFAIL mg.f:604
0.9212 0.8330 0.4343 SUCCES PFAIL mg.f:679
0.2292 0.2075 0.0301 SUCCES PFAIL mg.f:679
0.7081 0.6395 0.4078 SUCCES PFAIL mg.f:604
0.0152 0.0139 0.5016 SUCCES PFAIL mg.f:679
0.2355 0.2130 0.9564 SUCCES PFAIL mg.f:757
0.0414 0.0376 0.0512 SUCCES PFAIL mg.f:679
0.7647 0.6898 0.5075 SUCCES PFAIL mg.f:665
0.0706 0.0640 0.1010 SUCCES PFAIL mg.f:663
0.0498 0.0452 0.4784 SUCCES PFAIL mg.f:604
0.8580 0.7700 0.5745 SUCCES PFAIL mg.f:604
0.0746 0.0676 0.5259 SUCCES PFAIL mg.f:679
0.5587 0.5038 0.4081 SUCCES PFAIL mg.f:679
0.8569 0.7695 0.4952 SUCCES PFAIL mg.f:604
0.0838 0.0759 0.9547 SUCCES PFAIL mg.f:679
0.0629 0.0569 0.8309 SUCCES PFAIL mg.f:604
0.8750 0.7918 0.9317 SUCCES PFAIL mg.f:679
0.8501 0.7671 0.3051 SUCCES PFAIL mg.f:679
0.1633 0.1476 0.9042 SUCCES PFAIL mg.f:770
0.8799 0.7962 0.8565 SUCCES PFAIL mg.f:667
0.4462 0.4034 0.3733 SUCCES PFAIL mg.f:665
0.9340 0.8428 0.2598 SUCCES PFAIL mg.f:595
0.7379 0.6672 0.3525 SUCCES PFAIL mg.f:665
0.7149 0.6450 0.2280 SUCCES PFAIL mg.f:564
0.9362 0.8459 0.1833 SUCCES PFAIL mg.f:604
0.2401 0.2171 0.7768 SUCCES PFAIL mg.f:679
0.5489 0.4952 0.8738 SUCCES PFAIL mg.f:665
0.2691 0.2432 0.8268 SUCCES PFAIL mg.f:604
0.4890 0.4415 0.2801 SUCCES PFAIL mg.f:597
0.2957 0.2688 0.3749 SUCCES PFAIL mg.f:679
0.3624 0.3280 0.8946 SUCCES PFAIL mg.f:665
0.3474 0.3137 0.2781 SUCCES PFAIL mg.f:604
0.0719 0.0653 0.7351 SUCCES PFAIL mg.f:667
0.6340 0.5723 0.2512 SUCCES PFAIL mg.f:679
0.4416 0.3993 0.3471 SUCCES PFAIL mg.f:679
0.4141 0.3741 0.2170 SUCCES PFAIL mg.f:665
0.7271 0.6581 0.8185 SUCCES PFAIL mg.f:667
0.7024 0.6299 0.1914 SUCCES PFAIL mg.f:667
0.4236 0.3802 0.1450 SUCCES PFAIL mg.f:604
0.6476 0.5830 0.1038 SUCCES PFAIL mg.f:597
0.8601 0.7765 0.5513 SUCCES PFAIL mg.f:604
0.1726 0.1561 0.1506 SUCCES PFAIL mg.f:833
0.3936 0.3557 0.1065 SUCCES PFAIL mg.f:844
0.1991 0.1799 0.1983 SUCCES PFAIL mg.f:595
0.4216 0.3802 0.6559 SUCCES PFAIL mg.f:604
0.6403 0.5810 0.6077 SUCCES PFAIL mg.f:595
0.4411 0.4011 0.1971 SUCCES PFAIL mg.f:679
0.0121 0.0111 0.2205 SUCCES PFAIL mg.f:757
0.7342 0.6646 0.1768 SUCCES PFAIL mg.f:665
0.2955 0.2672 0.1917 SUCCES PFAIL mg.f:679
0.2835 0.2562 0.0767 SUCCES PFAIL mg.f:597
0.0842 0.0762 0.6659 SUCCES PFAIL mg.f:770
0.3089 0.2789 0.1230 SUCCES PFAIL mg.f:770
0.1115 0.1007 0.2149 SUCCES PFAIL mg.f:667
0.3377 0.3049 0.1738 SUCCES PFAIL mg.f:665
0.6399 0.5770 0.7646 SUCCES PFAIL mg.f:604
0.3587 0.3239 0.7174 SUCCES PFAIL mg.f:604
0.5787 0.5245 0.1705 SUCCES PFAIL mg.f:665
0.6511 0.5878 0.1954 SUCCES PFAIL mg.f:604
0.4532 0.4094 0.2871 SUCCES PFAIL mg.f:755
0.1738 0.1569 0.7411 SUCCES PFAIL mg.f:840
0.9785 0.8821 0.8341 SUCCES PFAIL mg.f:833
0.7030 0.6304 0.2916 SUCCES PFAIL mg.f:667
0.9197 0.8248 0.2430 FAILED PFAIL mg.f:667
0.6362 0.5759 0.6942 SUCCES PFAIL mg.f:597
0.3618 0.3273 0.6520 SUCCES PFAIL mg.f:679
0.4307 0.3891 0.6741 SUCCES PFAIL mg.f:593
0.6499 0.5864 0.6259 SUCCES PFAIL mg.f:597
0.9606 0.8696 0.2259 SUCCES PFAIL mg.f:667
0.4380 0.3964 0.6015 SUCCES PFAIL mg.f:679
0.0051 0.0048 0.1217 SUCCES PFAIL mg.f:755
0.7250 0.6543 0.0747 SUCCES PFAIL mg.f:595
0.5318 0.4798 0.1684 SUCCES PFAIL mg.f:679
0.2504 0.2258 0.6219 SUCCES PFAIL mg.f:667
0.4725 0.4269 0.0767 SUCCES PFAIL mg.f:679
0.2770 0.2501 0.1714 SUCCES PFAIL mg.f:604
0.0857 0.0775 0.7671 SUCCES PFAIL mg.f:757
0.3104 0.2802 0.7245 SUCCES PFAIL mg.f:755
0.0239 0.0219 0.1739 SUCCES PFAIL mg.f:840
0.8311 0.7507 0.2680 SUCCES PFAIL mg.f:856
0.1320 0.1193 0.3581 SUCCES PFAIL mg.f:604
0.8560 0.7758 0.3164 SUCCES PFAIL mg.f:604
0.6686 0.6054 0.9176 SUCCES PFAIL mg.f:679
0.6468 0.5822 0.2922 SUCCES PFAIL mg.f:595
0.8635 0.7794 0.7427 SUCCES PFAIL mg.f:604
