Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.6072 0.5737 0.2943 succes PSUCC fft3d.f:120
0.9116 0.8589 0.6454 succes PSUCC fft3d.f:49
0.8031 0.7623 0.6384 succes PSUCC fft3d.f:82
0.6957 0.6506 0.6317 succes PSUCC fft3d.f:82
0.5026 0.4748 0.4863 succes PSUCC fft3d.f:48
0.8132 0.8094 0.3433 succes PSUCC fft3d.f:81
0.8734 0.8246 0.1133 succes PSUCC fft3d.f:2
0.2652 0.2508 0.1061 succes PSUCC fft3d.f:47
0.0746 0.0707 0.9608 succes PSUCC fft3d.f:2
0.9689 0.9176 0.9569 succes PSUCC fft3d.f:82
0.8617 0.8145 0.9508 succes PSUCC fft3d.f:48
0.1664 0.1579 0.8024 succes PSUCC ()
0.5611 0.5292 0.2975 succes PSUCC fft3d.f:81
0.8674 0.8223 0.1504 succes PSUCC fft3d.f:82
0.7582 0.7164 0.6413 succes PSUCC fft3d.f:2
0.5654 0.5595 0.9957 succes PSUCC fft3d.f:82
0.2145 0.2034 0.9109 failed PSUCC fft3d.f:82
0.0237 0.0225 0.2653 succes PSUCC fft3d.f:49
0.4142 0.3899 0.2592 succes PSUCC fft3d.f:49
0.7264 0.6816 0.1158 succes PSUCC fft3d.f:81
0.0335 0.0314 0.9679 succes PSUCC fft3d.f:82
0.8363 0.8303 0.3200 succes PSUCC fft3d.f:2
0.4826 0.4519 0.7323 succes PSUCC ()
0.7955 0.7544 0.0905 succes PSUCC ()
0.1848 0.1744 0.0813 succes PSUCC fft3d.f:2
0.4957 0.4970 0.4368 succes PSUCC fft3d.f:48
0.1498 0.1412 0.8577 succes PSUCC fft3d.f:82
0.9559 0.8987 0.2107 succes PSUCC fft3d.f:2
0.3467 0.3286 0.7036 succes PSUCC fft3d.f:2
0.1561 0.1474 0.5583 succes PSUCC fft3d.f:160
0.0461 0.0435 0.0493 succes PSUCC fft3d.f:2
0.8523 0.8460 0.9011 succes PSUCC fft3d.f:49
0.4186 0.3971 0.1781 succes PSUCC fft3d.f:166
0.8151 0.7662 0.1764 succes PSUCC fft3d.f:49
0.2055 0.1945 0.6667 succes PSUCC fft3d.f:49
0.0098 0.0098 0.0190 succes PSUCC fft3d.f:48
0.0761 0.0724 0.7932 succes PSUCC fft3d.f:49
0.4673 0.4403 0.7864 succes PSUCC fft3d.f:82
0.3619 0.3407 0.7831 succes PSUCC fft3d.f:49
0.6697 0.6654 0.6358 succes PSUCC fft3d.f:120
0.2395 0.2270 0.4170 succes PSUCC fft3d.f:82
0.6354 0.6016 0.4136 succes PSUCC fft3d.f:160
0.0249 0.0236 0.4051 succes PSUCC fft3d.f:2
0.3337 0.3346 0.7602 succes PSUCC fft3d.f:2
0.4787 0.4512 0.1699 succes PSUCC fft3d.f:2
0.7915 0.7518 0.5285 succes PSUCC fft3d.f:82
0.1802 0.1697 0.0203 succes PSUCC fft3d.f:82
0.5748 0.5724 0.0154 succes PSUCC fft3d.f:2
0.1446 0.1363 0.2953 succes PSUCC fft3d.f:82
0.0335 0.0317 0.2861 succes PSUCC fft3d.f:120
0.8447 0.7943 0.6420 succes PSUCC fft3d.f:49
0.7341 0.6857 0.6340 succes PSUCC fft3d.f:160
0.0451 0.0430 0.9909 succes PSUCC fft3d.f:82
0.4353 0.4321 0.9823 succes PSUCC fft3d.f:82
0.0021 0.0021 0.2589 succes PSUCC ()
0.8052 0.8060 0.1076 succes PSUCC fft3d.f:48
0.4561 0.4298 0.5262 succes PSUCC fft3d.f:48
